"id","email","password","state","city","createdAt","updatedAt"
1,az@gmail.com,$2a$10$jRCKxJcv7KqmAAjoUxk0uO9lPJ0UFVKFJHkGz93seO7jp/cpKpITu,GA,adsfasdfasd,"2020-07-24 18:34:30.0","2020-07-27 14:04:33.0"
2,"2@gmail.com",$2a$10$jRCKxJcv7KqmAAjoUxk0uO9lPJ0UFVKFJHkGz93seO7jp/cpKpITu,CT,"2","2020-07-26 19:26:29.0","2020-07-26 22:00:06.0"
3,pdelpadre@gmail.com,$2a$10$.DdJi05JSyh4FLuzrHxat.KNjKliIQdrKCTB3cVIkmZ64a8tTWFpm,FL,Oviedo,"2020-07-26 19:44:41.0","2020-07-28 15:05:33.0"
4,delme@gmail.com,$2a$10$QveNYOrbw7YRj4VR7Z.vFe6KNL5DwIqG6aOvTIr.ctUq70jfU3rBW,CO,wwww,"2020-07-27 13:50:24.0","2020-07-28 01:37:15.0"
5,Darius.Turner@yahoo.com,m31x8qbDjpKHt1d,CO,Denver,"2020-07-27 23:48:42.0","2020-07-27 20:15:25.0"
6,Chadrick61@yahoo.com,$2a$10$QveNYOrbw7YRj4VR7Z.vFe6KNL5DwIqG6aOvTIr.ctUq70jfU3rBW,CO,Denver,"2020-07-28 07:31:43.0","2020-07-28 02:43:23.0"
7,Abby_Mueller44@yahoo.com,$2a$10$QveNYOrbw7YRj4VR7Z.vFe6KNL5DwIqG6aOvTIr.ctUq70jfU3rBW,CO,Denver,"2020-07-27 22:26:55.0","2020-07-28 11:38:25.0"
8,Lorine84@hotmail.com,$2a$10$QveNYOrbw7YRj4VR7Z.vFe6KNL5DwIqG6aOvTIr.ctUq70jfU3rBW,CO,Denver,"2020-07-28 11:12:06.0","2020-07-28 01:00:44.0"
9,Faustino.Larson@yahoo.com,$2a$10$QveNYOrbw7YRj4VR7Z.vFe6KNL5DwIqG6aOvTIr.ctUq70jfU3rBW,CO,Denver,"2020-07-28 09:29:35.0","2020-07-27 23:26:51.0"
10,Pete.Heaney@gmail.com,$2a$10$QveNYOrbw7YRj4VR7Z.vFe6KNL5DwIqG6aOvTIr.ctUq70jfU3rBW,CO,Denver,"2020-07-28 10:41:57.0","2020-07-28 03:33:46.0"
